# Sensor type: Respeck
# Activity type: Lying down right
# Activity code: 6
# Subject id: s1956488
# Notes: 2
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664721299698,0.5629883,-0.3821411,0.7543335,-0.0625,1.3125,0.515625
1664721299802,0.56884766,-0.39068604,0.7496948,-0.3125,1.15625,0.15625
1664721299805,0.5656738,-0.3826294,0.75335693,-0.203125,1.0625,0.4375
1664721299824,0.5769043,-0.37701416,0.7543335,-0.15625,1.546875,0.28125
1664721299855,0.56689453,-0.3809204,0.75531006,0.171875,1.0625,0.453125
1664721299965,0.5593262,-0.38287354,0.7472534,0.734375,1.453125,0.59375
1664721299967,0.56396484,-0.38458252,0.75897217,0.25,1.4375,0.46875
1664721299995,0.5734863,-0.38067627,0.74798584,0.5,1.390625,0.4375
1664721300016,0.5776367,-0.3821411,0.7501831,-0.15625,1.078125,0.390625
1664721300103,0.5739746,-0.3838501,0.7555542,0.328125,1.25,0.375
1664721300119,0.5666504,-0.38848877,0.75994873,0.203125,0.9375,0.296875
1664721300164,0.57128906,-0.3850708,0.75286865,0.53125,1.15625,0.4375
1664721300178,0.57421875,-0.38116455,0.7514038,0.34375,1.28125,0.375
1664721300262,0.5698242,-0.380188,0.7550659,0.484375,1.140625,0.296875
1664721300266,0.57470703,-0.38970947,0.74798584,0.03125,1.15625,0.15625
1664721300307,0.578125,-0.37579346,0.76068115,0.734375,1.1875,0.25
1664721300336,0.57006836,-0.38116455,0.75286865,-0.015625,1.28125,0.265625
1664721300417,0.57055664,-0.37945557,0.7457886,0.40625,1.703125,0.234375
1664721300420,0.5749512,-0.3814087,0.7548218,0.421875,1.328125,0.15625
1664721300466,0.5734863,-0.38580322,0.74871826,0.59375,1.296875,0.40625
1664721300542,0.56933594,-0.38604736,0.73773193,0.265625,1.375,0.3125
1664721300545,0.57592773,-0.38189697,0.75335693,0.25,1.34375,0.125
1664721300593,0.57373047,-0.37628174,0.75213623,-0.09375,1.484375,0.1875
1664721300638,0.56640625,-0.3838501,0.75457764,0.234375,0.875,0.0625
1664721300702,0.56689453,-0.38165283,0.7494507,0.265625,1.140625,0.265625
1664721300705,0.5654297,-0.37652588,0.762146,1.28125,1.015625,0.390625
1664721300732,0.56469727,-0.38653564,0.7584839,2.1875,1.09375,0.453125
1664721300767,0.5656738,-0.38531494,0.7477417,3.34375,0.625,0.375
1664721300855,0.5769043,-0.3814087,0.7489624,1.515625,1.109375,0.390625
1664721300859,0.57470703,-0.38946533,0.75335693,0.65625,1.359375,0.3125
1664721300890,0.57470703,-0.39801025,0.7423706,1.375,0.9375,0.203125
1664721300938,0.56884766,-0.395813,0.74017334,1.0625,0.78125,0.453125
1664721300998,0.5686035,-0.39605713,0.74676514,0.90625,1.328125,0.375
1664721301015,0.5690918,-0.39483643,0.743103,1.578125,0.84375,0.21875
1664721301048,0.5734863,-0.395813,0.7418823,1.15625,1.0625,0.125
1664721301092,0.57910156,-0.39508057,0.7382202,1.34375,0.953125,-0.15625
1664721301174,0.5708008,-0.39434814,0.7328491,0.5625,0.9375,-0.1875
1664721301177,0.5678711,-0.3977661,0.74334717,0.75,0.40625,-0.015625
1664721301210,0.56518555,-0.3977661,0.73724365,1.03125,0.015625,-0.0625
1664721301317,0.56518555,-0.39434814,0.7523804,1.5,-0.21875,0.0625
1664721301318,0.5678711,-0.40386963,0.74920654,2.59375,0.515625,0.09375
1664721301329,0.5593262,-0.4048462,0.74871826,1.34375,0.71875,0.25
1664721301368,0.55688477,-0.39898682,0.7489624,1.578125,0.90625,0.28125
1664721301449,0.5656738,-0.39996338,0.74017334,0.46875,1.203125,0.421875
1664721301451,0.56347656,-0.40533447,0.744812,1.21875,1.03125,0.25
1664721301485,0.56103516,-0.4085083,0.7387085,0.1875,1.375,0.34375
1664721301527,0.56689453,-0.40338135,0.74212646,0.0,1.625,0.5625
1664721301608,0.57177734,-0.40875244,0.7418823,0.0625,1.203125,0.296875
1664721301612,0.56469727,-0.40875244,0.74554443,0.203125,1.359375,0.21875
1664721301666,0.5644531,-0.40386963,0.7367554,-0.09375,1.1875,0.375
1664721301675,0.57373047,-0.41070557,0.7369995,0.34375,1.359375,0.203125
1664721301764,0.5678711,-0.4024048,0.7484741,-0.21875,1.0625,0.171875
1664721301767,0.56347656,-0.4102173,0.74212646,0.015625,1.21875,0.25
1664721301801,0.56274414,-0.40997314,0.74920654,-0.03125,1.03125,0.203125
1664721301854,0.5612793,-0.41119385,0.74871826,0.796875,1.1875,0.328125
1664721301921,0.5683594,-0.4031372,0.73773193,0.171875,1.375,0.40625
1664721301925,0.56469727,-0.40655518,0.7394409,0.3125,1.46875,0.359375
1664721301983,0.5710449,-0.40289307,0.74261475,0.21875,1.421875,0.296875
1664721302059,0.57006836,-0.40289307,0.7387085,-0.046875,1.234375,0.46875
1664721302066,0.5683594,-0.40826416,0.72821045,0.171875,1.453125,0.203125
1664721302087,0.564209,-0.41046143,0.7391968,0.1875,0.984375,0.234375
1664721302114,0.5625,-0.40679932,0.7394409,-0.453125,1.203125,0.234375
1664721302204,0.5727539,-0.40802002,0.7435913,0.9375,1.0625,-0.03125
1664721302206,0.56152344,-0.40386963,0.7379761,0.3125,1.34375,0.203125
1664721302247,0.5661621,-0.40020752,0.73651123,-0.171875,1.328125,0.328125
1664721302278,0.5710449,-0.4024048,0.7362671,-0.453125,1.421875,0.28125
1664721302388,0.57250977,-0.4031372,0.74676514,0.546875,1.1875,0.078125
1664721302390,0.5695801,-0.40386963,0.73602295,0.515625,1.015625,0.296875
1664721302428,0.56469727,-0.4024048,0.7411499,0.703125,0.890625,0.453125
1664721302432,0.5578613,-0.40777588,0.7470093,0.609375,1.109375,0.515625
1664721302546,0.56469727,-0.40264893,0.7367554,0.1875,1.484375,0.484375
1664721302553,0.56518555,-0.40020752,0.74090576,0.75,1.390625,0.328125
1664721302583,0.57250977,-0.4055786,0.74139404,0.328125,1.03125,0.3125
1664721302589,0.56884766,-0.40509033,0.74798584,0.53125,1.203125,0.390625
1664721302691,0.5698242,-0.40802002,0.7284546,0.03125,1.421875,0.453125
1664721302693,0.5644531,-0.411438,0.74334717,1.3125,1.109375,0.265625
1664721302708,0.5629883,-0.4043579,0.7472534,1.171875,1.578125,0.453125
1664721302817,0.5708008,-0.4121704,0.7428589,1.984375,1.578125,0.390625
1664721302823,0.56884766,-0.4133911,0.72698975,2.5,1.453125,0.1875
1664721302862,0.5554199,-0.40655518,0.7279663,0.953125,1.34375,0.375
1664721302880,0.5698242,-0.40997314,0.72869873,0.265625,1.15625,0.21875
1664721302958,0.57006836,-0.4126587,0.7394409,0.1875,1.453125,0.140625
1664721302961,0.5732422,-0.41558838,0.7316284,0.03125,1.578125,-0.046875
1664721303005,0.5722656,-0.4126587,0.7340698,0.265625,1.1875,0.171875
1664721303030,0.56103516,-0.40338135,0.729187,0.578125,1.40625,0.328125
1664721303111,0.5637207,-0.41119385,0.73431396,0.046875,1.15625,0.359375
1664721303114,0.5727539,-0.41290283,0.73358154,0.21875,1.3125,0.1875
1664721303146,0.5734863,-0.4187622,0.73065186,-0.328125,1.546875,0.53125
1664721303197,0.576416,-0.4180298,0.73358154,0.765625,1.46875,0.375
1664721303276,0.5734863,-0.41680908,0.7391968,0.0,1.421875,0.4375
1664721303280,0.56811523,-0.4085083,0.73724365,0.4375,2.3125,-0.125
1664721303308,0.5708008,-0.40826416,0.73724365,1.21875,3.03125,0.140625
1664721303349,0.5710449,-0.41436768,0.7243042,1.8125,2.578125,0.46875
1664721303430,0.57128906,-0.4151001,0.72406006,1.28125,2.234375,0.609375
1664721303433,0.5793457,-0.42071533,0.7316284,0.78125,1.921875,0.375
1664721303465,0.5756836,-0.4192505,0.7296753,-0.421875,1.4375,0.65625
1664721303564,0.5830078,-0.4241333,0.72943115,0.34375,1.515625,0.609375
1664721303568,0.57250977,-0.41900635,0.72210693,0.25,1.640625,0.25
1664721303593,0.5734863,-0.41705322,0.7260132,0.578125,1.484375,0.28125
1664721303632,0.58618164,-0.4121704,0.7243042,0.25,1.296875,0.328125
1664721303712,0.578125,-0.41680908,0.7213745,0.65625,1.484375,0.21875
1664721303717,0.58032227,-0.4192505,0.71868896,0.5625,1.4375,0.109375
1664721303767,0.5817871,-0.41729736,0.73065186,0.109375,1.046875,0.40625
1664721303793,0.57666016,-0.4180298,0.7289429,0.0625,1.515625,0.109375
1664721303879,0.57910156,-0.41436768,0.7262573,0.109375,0.84375,0.265625
1664721303882,0.5876465,-0.41192627,0.7262573,-0.765625,1.09375,0.078125
1664721303903,0.5749512,-0.41363525,0.72991943,0.0,1.109375,-0.171875
1664721303936,0.5744629,-0.4192505,0.7247925,0.140625,1.25,-0.0625
1664721304044,0.5827637,-0.4216919,0.7172241,-0.53125,1.125,0.140625
1664721304045,0.58374023,-0.41363525,0.7235718,-0.59375,0.765625,0.1875
1664721304058,0.5805664,-0.4151001,0.7238159,0.40625,0.515625,0.171875
1664721304096,0.5839844,-0.41558838,0.7304077,0.359375,0.59375,0.0625
1664721304196,0.57128906,-0.4229126,0.73065186,0.9375,0.3125,-0.046875
1664721304199,0.57006836,-0.42193604,0.72869873,1.078125,0.421875,0.015625
1664721304217,0.57055664,-0.41680908,0.7230835,0.78125,0.21875,-0.234375
1664721304349,0.5756836,-0.42510986,0.7279663,1.65625,0.375,-0.59375
1664721304351,0.5788574,-0.42926025,0.7289429,1.640625,0.921875,-0.390625
1664721304363,0.5786133,-0.42315674,0.727478,0.78125,1.078125,-0.171875
1664721304376,0.5683594,-0.4331665,0.7296753,1.46875,0.453125,0.03125
1664721304462,0.56689453,-0.4241333,0.7333374,1.28125,0.8125,-0.078125
1664721304465,0.5629883,-0.4290161,0.7225952,0.8125,0.53125,0.0625
1664721304500,0.5686035,-0.4282837,0.72698975,0.796875,0.171875,-0.125
1664721304543,0.5629883,-0.43414307,0.727478,1.046875,0.328125,-0.046875
1664721304620,0.56811523,-0.43707275,0.7272339,1.40625,0.734375,-0.359375
1664721304623,0.5661621,-0.43927002,0.7340698,1.359375,0.734375,-0.421875
1664721304653,0.5637207,-0.43927002,0.7182007,0.203125,1.171875,-0.125
1664721304693,0.564209,-0.4307251,0.71917725,-0.796875,0.5625,-0.015625
1664721304781,0.5600586,-0.43341064,0.72406006,0.234375,0.390625,0.015625
1664721304785,0.56469727,-0.43951416,0.72528076,0.46875,0.515625,-0.09375
1664721304814,0.56030273,-0.43463135,0.729187,0.46875,0.84375,0.046875
1664721304853,0.5632324,-0.43267822,0.729187,0.28125,1.046875,0.03125
1664721304945,0.55908203,-0.43511963,0.7250366,-0.09375,0.921875,0.125
1664721304948,0.56640625,-0.43634033,0.71673584,-0.4375,1.171875,0.265625
1664721304973,0.56225586,-0.43218994,0.7304077,0.0625,1.4375,0.40625
1664721305068,0.5588379,-0.43878174,0.715271,-0.4375,1.671875,0.359375
1664721305071,0.5629883,-0.43218994,0.72821045,-0.1875,1.1875,0.5625
1664721305107,0.5666504,-0.42730713,0.7333374,-0.4375,1.078125,0.546875
1664721305128,0.5698242,-0.4343872,0.72528076,0.984375,1.21875,0.28125
1664721305225,0.5529785,-0.4343872,0.7223511,0.046875,1.4375,0.484375
1664721305228,0.5605469,-0.4282837,0.7260132,0.15625,1.28125,0.625
1664721305255,0.56884766,-0.4331665,0.7301636,0.0,1.734375,0.390625
1664721305282,0.5632324,-0.43389893,0.7301636,-0.109375,1.21875,0.265625
1664721305373,0.5576172,-0.42926025,0.7218628,-0.4375,1.046875,0.46875
1664721305377,0.560791,-0.42999268,0.73431396,0.5625,1.25,0.515625
1664721305412,0.5578613,-0.43048096,0.7225952,0.828125,1.40625,0.6875
1664721305443,0.5612793,-0.43292236,0.7206421,0.921875,1.75,0.46875
1664721305527,0.57128906,-0.43023682,0.72161865,1.0,1.734375,0.34375
1664721305530,0.5756836,-0.43414307,0.72943115,0.34375,1.25,0.5625
1664721305575,0.57177734,-0.43243408,0.7374878,0.40625,1.125,0.59375
1664721305668,0.56811523,-0.4348755,0.71624756,0.484375,1.234375,0.328125
1664721305671,0.5629883,-0.43341064,0.7296753,0.109375,1.28125,0.5
1664721305687,0.5683594,-0.42926025,0.71136475,0.15625,1.65625,0.28125
1664721305741,0.5673828,-0.43463135,0.7225952,-0.25,1.21875,0.484375
1664721305780,0.5732422,-0.43341064,0.732605,-0.515625,1.484375,0.34375
1664721305806,0.5617676,-0.4331665,0.7284546,0.359375,1.609375,0.140625
1664721305853,0.5644531,-0.43267822,0.72528076,0.265625,1.65625,0.40625
1664721305879,0.5644531,-0.43145752,0.7189331,0.078125,1.359375,0.28125
1664721305994,0.5727539,-0.43170166,0.72283936,-0.234375,1.234375,0.265625
1664721305996,0.5710449,-0.42852783,0.7338257,0.171875,1.21875,0.234375
1664721306008,0.5703125,-0.43634033,0.7213745,-0.203125,1.046875,0.0625
1664721306034,0.57006836,-0.42974854,0.7338257,-0.25,1.109375,0.21875
1664721306124,0.5683594,-0.42999268,0.7284546,0.59375,1.109375,0.28125
1664721306128,0.5690918,-0.4241333,0.7255249,-0.265625,1.390625,0.203125
1664721306166,0.57250977,-0.43463135,0.7260132,0.84375,1.78125,0.453125
1664721306195,0.56884766,-0.42999268,0.7260132,0.84375,1.71875,0.25
1664721306283,0.56347656,-0.42852783,0.7250366,0.125,1.09375,0.234375
1664721306286,0.5683594,-0.43292236,0.7255249,-0.0625,1.265625,0.21875
1664721306333,0.5637207,-0.43023682,0.7243042,0.40625,1.390625,0.3125
1664721306404,0.564209,-0.42608643,0.72406006,0.25,1.375,0.3125
1664721306407,0.5722656,-0.43243408,0.7223511,0.109375,1.65625,0.265625
1664721306456,0.5773926,-0.4258423,0.7225952,0.375,1.5,0.203125
1664721306483,0.5683594,-0.4336548,0.71917725,0.015625,1.15625,0.359375
1664721306602,0.5690918,-0.43341064,0.713562,0.46875,1.1875,0.0625
1664721306604,0.5727539,-0.4265747,0.7225952,-0.109375,0.96875,0.21875
1664721306614,0.57910156,-0.42730713,0.7289429,-0.25,1.578125,0.15625
1664721306628,0.5732422,-0.43170166,0.7213745,0.0,1.921875,0.046875
1664721306743,0.5690918,-0.43023682,0.7189331,-0.125,1.796875,0.15625
1664721306746,0.5773926,-0.42510986,0.72283936,-0.3125,1.484375,0.078125
1664721306762,0.5793457,-0.43218994,0.72454834,-0.1875,1.359375,0.015625
1664721306786,0.5786133,-0.427063,0.7267456,-0.4375,1.234375,0.15625
1664721306892,0.5720215,-0.42462158,0.7238159,-0.34375,1.03125,0.078125
1664721306894,0.5744629,-0.42486572,0.72772217,0.5,1.125,0.34375
