# Sensor type: Respeck
# Activity type: Desk work
# Activity code: 31
# Subject id: s1956488
# Notes: 1
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1664721645696,-0.4645996,-0.36846924,0.88739014,1.71875,2.5625,-0.5
1664721645738,-0.42651367,-0.4043579,0.85321045,1.234375,1.625,0.359375
1664721645828,-0.42333984,-0.37774658,0.85931396,-2.25,0.703125,0.265625
1664721645830,-0.4650879,-0.3652954,0.8656616,3.65625,2.78125,1.609375
1664721645854,-0.4584961,-0.3838501,0.8727417,4.390625,2.46875,0.96875
1664721645938,-0.4663086,-0.4024048,0.8776245,6.609375,0.59375,0.59375
1664721645943,-0.4309082,-0.40997314,0.8554077,6.65625,2.90625,1.40625
1664721645981,-0.40966797,-0.41583252,0.8422241,1.5,-2.53125,2.71875
1664721646028,-0.45263672,-0.37750244,0.8414917,0.71875,0.140625,1.28125
1664721646065,-0.46606445,-0.395813,0.8446655,1.828125,0.6875,2.734375
1664721646112,-0.46069336,-0.44830322,0.86834717,0.21875,-1.796875,1.53125
1664721646138,-0.4963379,-0.4180298,0.86224365,3.546875,-0.3125,1.140625
1664721646164,-0.4621582,-0.40826416,0.8378296,-1.703125,1.6875,0.15625
1664721646262,-0.44970703,-0.39898682,0.8446655,-5.75,2.3125,-2.140625
1664721646266,-0.4584961,-0.37335205,0.8583374,4.703125,3.75,-0.3125
1664721646288,-0.48217773,-0.39727783,0.87054443,12.671875,2.953125,1.6875
1664721646343,-0.4675293,-0.42633057,0.8590698,10.0,2.625,-0.640625
1664721646377,-0.44384766,-0.45318604,0.85809326,8.453125,4.640625,-1.078125
1664721646418,-0.42163086,-0.4932251,0.8432007,3.28125,1.375,-0.25
1664721646452,-0.36791992,-0.4451294,0.78704834,0.109375,4.484375,-3.3125
1664721646539,-0.41577148,-0.42926025,0.81903076,2.296875,4.984375,-2.453125
1664721646542,-0.4494629,-0.47369385,0.8822632,4.03125,2.265625,-1.671875
1664721646583,-0.44677734,-0.44488525,0.8539429,8.59375,2.421875,-1.546875
1664721646603,-0.45410156,-0.44732666,0.8139038,8.25,-0.21875,1.328125
1664721646655,-0.4206543,-0.48272705,0.8053589,-2.546875,-3.53125,0.53125
1664721646710,-0.42041016,-0.46221924,0.79437256,-0.828125,0.546875,0.578125
1664721646724,-0.43774414,-0.45587158,0.8331909,2.09375,0.796875,-0.09375
1664721646775,-0.4519043,-0.48883057,0.8422241,1.90625,-1.34375,-0.421875
1664721646851,-0.4555664,-0.4697876,0.8329468,4.734375,-0.328125,-0.453125
1664721646852,-0.44360352,-0.48077393,0.7938843,2.171875,-2.828125,2.125
1664721646882,-0.42700195,-0.46929932,0.77996826,-1.78125,-1.296875,0.171875
1664721646919,-0.47265625,-0.46392822,0.80682373,1.375,0.859375,0.578125
1664721647006,-0.453125,-0.49517822,0.8126831,1.65625,-0.5,0.953125
1664721647009,-0.4572754,-0.47491455,0.8151245,0.8125,0.53125,0.328125
1664721647039,-0.45825195,-0.472229,0.80340576,-0.0625,1.328125,0.359375
1664721647076,-0.42993164,-0.49761963,0.7872925,-7.109375,1.15625,-1.390625
1664721647162,-0.44921875,-0.45806885,0.7977905,-5.375,2.671875,-1.078125
1664721647164,-0.4699707,-0.46661377,0.83026123,-1.75,2.78125,-0.1875
1664721647202,-0.4658203,-0.47857666,0.83270264,0.203125,0.0625,0.84375
1664721647284,-0.46679688,-0.456604,0.8200073,0.25,1.671875,-0.421875
1664721647286,-0.44726562,-0.46832275,0.8053589,-3.8125,0.515625,0.234375
1664721647325,-0.4230957,-0.44976807,0.81585693,-7.265625,-0.53125,-0.109375
1664721647364,-0.4543457,-0.44952393,0.83758545,-2.640625,1.28125,0.25
1664721647446,-0.4963379,-0.4505005,0.84051514,-1.984375,2.640625,-1.0
1664721647449,-0.45776367,-0.43951416,0.84002686,-0.390625,1.6875,-0.78125
1664721647478,-0.46411133,-0.425354,0.85198975,0.0,2.625,-0.421875
1664721647525,-0.4567871,-0.44293213,0.82855225,-2.25,2.015625,-0.34375
1664721647610,-0.43579102,-0.4446411,0.8187866,-4.59375,2.140625,-1.0
1664721647613,-0.45385742,-0.43048096,0.82928467,-3.609375,4.0625,-1.4375
1664721647635,-0.46240234,-0.40948486,0.8497925,-1.203125,3.078125,-1.046875
1664721647675,-0.46948242,-0.43463135,0.8685913,0.421875,0.46875,-0.359375
1664721647754,-0.45776367,-0.4373169,0.8446655,-0.296875,2.34375,-1.375
1664721647756,-0.41967773,-0.43829346,0.8143921,0.984375,1.484375,-0.484375
1664721647796,-0.45629883,-0.41827393,0.8356323,-3.328125,3.125,-0.328125
1664721647833,-0.43969727,-0.40533447,0.84051514,-0.03125,2.46875,-0.625
1664721647937,-0.4560547,-0.4163208,0.87176514,-0.8125,1.390625,0.09375
1664721647939,-0.47509766,-0.4446411,0.86712646,-1.25,1.890625,-1.265625
1664721647957,-0.43676758,-0.42608643,0.83636475,4.9375,0.921875,-0.5625
1664721648039,-0.44384766,-0.4180298,0.82977295,2.8125,1.53125,2.40625
1664721648042,-0.45141602,-0.41851807,0.83709717,-2.09375,2.15625,-0.5
1664721648080,-0.45410156,-0.4163208,0.8512573,-0.40625,0.9375,-0.828125
1664721648108,-0.46557617,-0.42999268,0.87542725,-1.375,1.609375,-0.71875
1664721648198,-0.44677734,-0.43658447,0.84661865,3.359375,1.96875,-0.671875
1664721648201,-0.43945312,-0.4229126,0.8341675,2.59375,1.265625,1.40625
1664721648233,-0.44458008,-0.4212036,0.8390503,-0.21875,2.46875,0.546875
1664721648266,-0.44726562,-0.41680908,0.836853,-0.640625,1.5625,-0.59375
1664721648354,-0.46142578,-0.43511963,0.8695679,-1.703125,0.90625,0.046875
1664721648370,-0.4572754,-0.425354,0.84661865,0.1875,1.65625,-0.53125
